listing_id,area_dm2,building_age_years,monthly_rent
A0000030,6453.9174,5,3329.8941
A0000633,5802.9188,8,2808.1253
A0000491,6677.6229,10,3164.4549
A0000341,7182.6784,7,3562.18
A0000895,7457.2027,9,3533.1639
A0001010,5970.1329,7,2882.7965
A0000557,5851.6534,7,3025.3626
A0000902,8238.0169,6,3601.9657
A0001190,8136.4048,6,3482.5429
A0000918,7826.2375,7,3390.2594
A0001007,7613.5049,8,3340.6343
A0000514,6114.8573,5,3137.2615
A0001087,6099.1522,5,2989.7285
A0000657,7483.6096,11,3362.8374
A0001079,6767.5243,11,3091.2703
A0000670,8280.6925,9,3546.2141
A0000141,7925.5438,7,3610.1017
A0001011,7845.8136,8,3329.4937
A0001177,5705.9817,6,2802.0059
A0000317,6392.7543,11,2986.9669
A0001124,8117.895,11,3427.643
A0001193,6690.8554,5,3218.338
A0000777,5931.7493,9,2899.9284
A0000724,7878.7645,5,3609.703
A0000665,8332.0989,5,3641.7507
A0000001,8535.5829,7,3767.5075
A0001194,6624.1068,8,3059.1542
A0000132,5918.489,7,2877.5212
A0000816,7799.9645,7,3821.8756
A0000619,6319.5245,11,3271.946
A0000774,8128.7958,10,3561.568
A0001129,6101.4875,10,3069.0882
A0000560,7702.7366,7,3446.7193
A0000853,7014.0077,10,3300.1489
A0000800,7983.7397,7,3521.0735
A0000263,8360.4133,7,3476.4942
A0000309,7105.6323,6,3466.6659
A0000661,6263.6023,11,2902.2548
A0000413,6669.5285,5,3362.3406
A0000086,6393.1306,5,3116.9448
A0000070,7608.251,7,3460.9287
A0000955,8096.8509,5,3592.6791
A0000417,7477.8341,10,3340.181
A0000441,8579.8154,10,3559.9775
A0000742,7207.3941,8,3331.1778
A0000282,7177.8578,6,3345.5689
A0001178,6345.317,5,3049.727
A0000297,7938.8422,11,3638.1293
A0000808,6224.4522,9,3154.2526
A0001044,8195.1697,11,3451.0595
A0000941,8127.1803,9,3523.4825
A0000973,7598.2784,8,3347.5821
A0000438,6045.7828,8,3028.704
A0000703,6773.0896,10,3250.3777
A0000967,6795.1599,8,2887.3656
A0000950,6712.5941,9,3203.4243
A0001001,6963.0404,5,3314.5247
A0000308,6523.1604,7,3042.7122
A0000782,8148.0339,10,3674.8622
A0000226,8576.0349,11,3850.5878
A0000003,8416.665,6,3646.4994
A0000903,7298.5024,5,3197.6968
A0001122,6080.1018,9,3080.9576
A0000118,7343.9177,10,3317.3927
A0000863,7244.8995,8,3140.2435
A0000908,7355.1219,6,3295.8185
A0000638,7753.8916,10,3506.1744
A0000515,7801.0504,5,3502.7915
A0001068,6957.3115,11,3287.9874
A0000879,6158.2927,9,3243.0166
A0001169,6663.4969,5,3086.0868
A0000472,6654.1419,10,3191.9293
A0000735,5901.8346,6,2755.9302
A0000572,7155.1992,11,3290.3519
A0000307,5992.5508,7,2932.9253
A0000591,8035.4748,11,3413.9331
A0000444,7266.9662,5,3547.5298
A0001160,6425.3685,5,3029.2497
A0001109,7796.0709,11,3452.9083
A0001123,7744.6454,11,3375.3479
A0000334,5731.9796,11,2965.6563
A0001084,7883.9424,9,3451.1345
A0000671,5860.5029,7,3046.8993
A0000541,7727.6176,5,3566.7546
A0000611,7147.8337,11,3348.3666
A0000429,6191.8716,7,3195.5965
A0000406,6315.8191,7,2884.847
A0000919,6024.4756,9,2830.1511
A0000064,6005.2195,6,3198.2574
A0000321,8175.6149,7,3657.3611
A0001181,8461.0143,7,3684.651
A0000713,8379.5646,8,3652.9294
A0001114,7696.4031,6,3425.64
A0001018,8202.7716,9,3687.3333
A0001092,7511.4038,8,3482.639
A0000977,6615.8232,9,3171.5953
A0000034,7781.4738,5,3519.0875
A0000311,5922.113,8,2924.9865
A0000275,8696.6807,6,3688.9433
A0000581,6956.7201,8,3296.8267
A0000986,8022.5191,7,3411.124
A0000852,6981.1333,8,3134.391
A0000015,6698.8372,10,3022.5998
A0000866,7191.5494,8,3290.6419
A0000167,7210.3167,10,3395.6607
A0000502,8377.8327,7,3651.3817
A0000228,6100.2034,8,3309.2647
A0000912,6773.7854,8,3365.0604
A0001004,7921.4681,10,3647.4985
A0000300,5856.1801,7,3000.3698
A0000861,8203.4673,5,3751.8694
A0000970,6830.466,7,3182.3381
A0000798,7304.368,8,3158.2335
A0000615,6061.3106,10,3030.1786
A0000495,6573.4969,11,3151.9731
A0000942,6235.0138,9,3241.574
A0001163,7869.0144,8,3665.5617
A0000792,7127.0126,10,3544.7147
A0001025,8144.5771,6,3610.0591
A0000244,8034.5456,9,3434.9019
A0000355,7760.2542,5,3328.9736
A0000552,7813.2318,8,3486.0077
A0000684,7342.1452,7,3213.3396
A0000716,7553.5672,11,3517.6253
A0000940,7381.5603,5,3556.5211
A0000021,7499.6473,7,3475.5828
A0000373,8479.4977,9,3728.0778
A0000710,8228.7517,10,3611.3905
A0000208,8022.6451,11,3235.9453
A0000628,7529.7982,8,3589.0172
A0000712,8552.2977,9,3631.0044
A0001142,8084.6607,6,3530.6843
A0000088,6952.0361,7,3263.1085
A0000989,7405.2996,10,3162.354
A0000904,6359.2818,6,3111.4004
A0000830,6466.2627,8,3248.7047
A0001020,8131.1325,6,3650.8168
A0000259,6803.375,10,3231.4604
A0000333,6649.5109,8,3208.897
A0000882,8225.9168,8,3499.4358
A0000464,7948.8608,10,3607.1978
A0000538,6430.5256,6,2992.1202
A0000741,6704.4058,9,3004.7694
A0000658,6050.4703,6,2965.6866
A0000969,5724.2313,11,2650.5471
A0000872,7444.9469,10,3578.4502
A0000968,7501.8169,8,3453.7958
A0000011,6294.2933,5,2947.9482
A0000758,6797.4245,6,3097.3709
A0001014,7560.5583,6,3501.8053
A0000276,5780.4021,5,2906.7
A0000008,7062.8854,9,3304.731
A0001003,6374.3091,10,2857.5748
A0000653,6497.1755,7,3053.7731
A0001200,6316.2059,5,3088.3175
A0000794,6561.4481,8,3202.2226
A0000165,8510.8235,9,3713.9637
A0000218,6767.641,5,3282.8803
A0001175,6943.8665,8,3361.0557
A0000340,7854.8909,8,3484.5297
A0000512,7038.6554,6,3249.7074
A0001117,6215.4076,10,3054.5458
A0000534,8609.7997,8,3623.8108
A0000339,8670.2717,10,3654.3563
A0000267,7408.0007,6,3464.7127
A0000834,6169.0064,7,3146.2514
A0000153,6777.7882,9,3168.4814
A0000530,6236.7306,10,3021.9657
A0000947,7780.3476,8,3511.0731
A0001046,8644.8245,7,3756.5757
A0000476,7347.6652,6,3585.1442
A0001023,5850.9491,8,3074.8896
A0000401,8473.635,9,3454.3347
A0001121,8695.8165,7,3808.2354
A0000753,8259.5835,5,3560.9429
A0000324,6473.4937,7,3232.9523
A0000991,6326.2561,9,3134.9022
A0000957,8384.319,9,3658.9592
A0000899,7655.2288,11,3411.3275
A0000284,7157.6857,10,3273.2519
A0000930,8697.5121,10,3625.486
A0001053,6277.002,9,2797.7146
A0001093,8357.6372,9,3490.8915
A0000656,7710.3288,9,3443.186
A0000100,7579.207,7,3315.6993
A0000566,7966.6269,10,3618.8241
A0001119,6419.9203,10,3130.9764
A0000484,7775.7839,7,3285.0322
A0000720,5833.5796,7,2916.9262
A0000360,6493.6119,5,3070.3592
A0000917,6291.6571,7,3158.2744
A0000437,7602.679,8,3459.4752
A0001161,5783.1538,6,3030.158
A0000245,8583.1029,5,3774.2034
A0000869,6620.1441,7,3216.7768
A0000520,7654.4729,8,3361.466
A0000170,6392.1407,10,3118.5355
A0000857,7510.4919,10,3358.2398
A0000993,7454.6526,6,3422.4167
A0000480,6221.63,11,3011.2143
A0000580,6389.0428,5,3139.6339
A0001107,6897.4928,8,3248.797
A0000240,7026.8231,8,3193.7306
A0000607,6981.1593,10,3012.7959
A0000810,8316.9673,9,3359.1859
A0000151,6296.2598,8,3027.4918
A0000663,6477.9342,10,2990.0903
A0000554,7518.6927,11,3513.9385
A0000613,8036.7198,8,3466.1958
A0001064,6704.1615,8,3369.8084
A0001026,6365.9705,9,3413.5788
A0000525,7459.472,10,3395.9688
A0000135,6945.6208,9,3077.4337
A0000348,8695.6717,11,3462.3879
A0000198,8629.5397,5,3677.2546
A0000593,7402.5862,5,3480.8775
A0000072,8472.8761,9,3528.8831
A0000635,8437.6899,5,3637.9282
A0000545,6766.1704,6,3287.2334
A0000787,8123.6567,9,3645.0886
A0000699,6532.187,10,3038.4914
A0000044,7631.1326,5,3347.4116
A0000197,6325.2957,6,3228.1132
A0000013,5982.1234,7,2904.3995
A0001037,7905.9295,11,3542.0232
A0001191,7097.2383,10,3072.4386
A0000880,8648.3274,10,3579.301
A0000087,6564.4811,6,3211.0063
A0001130,6741.0356,5,3227.5689
A0000867,6423.8098,7,3226.9801
A0000892,7525.9009,8,3263.4829
A0001120,8579.7514,11,3619.0096
A0000900,7272.704,5,3494.3947
A0001077,6597.0809,11,3142.3884
A0000778,6621.6377,9,3412.5174
A0000675,7833.2,8,3287.1552
A0000063,7217.5538,9,3536.9712
A0000369,8226.6711,6,3642.0971
A0001152,7856.6114,9,3521.9954
A0000108,8051.0189,7,3380.6001
A0000775,6939.0272,9,3350.9462
A0000119,5709.9496,8,2542.902
A0000946,5762.5121,11,3276.6335
A0000998,7627.9195,11,3278.6889
A0000154,6402.4703,10,3068.5846
A0000897,7635.8996,11,3342.1249
A0000812,7444.6999,10,3555.6856
A0000206,7881.7947,7,3296.0121
A0000257,7496.2855,8,3624.9197
A0000926,5986.6454,10,2898.9474
A0001029,8061.1938,10,3471.0537
A0000469,5907.373,5,3035.2826
A0000550,8377.0801,7,3661.8998
A0000511,7252.3311,7,3391.9584
A0000749,6621.7418,9,3042.1464
A0000732,7772.9435,8,3642.8962
A0000687,6087.3952,10,2921.6018
A0000410,6338.3227,7,3018.0913
A0000587,8000.3285,9,3680.7127
A0000130,6774.3657,11,3179.6398
A0001066,6123.8647,9,3061.3314
A0000107,7732.1259,5,3503.9228
A0000098,8231.3977,8,3605.0841
A0000859,8150.134,6,3422.6904
A0000287,5907.6546,8,3136.0723
A0000956,6380.1392,8,3039.8533
A0000924,8329.5869,7,3496.6223
A0001016,8154.2128,5,3658.8956
A0000935,8410.7851,10,3621.5058
A0001147,6433.2365,9,3080.5861
A0000188,8127.0895,9,3501.1533
A0001103,6728.342,7,3241.9937
A0000077,8142.1218,5,3676.5516
A0000278,8139.715,8,3331.4
A0000695,7005.1995,6,3487.5954
A0000062,7516.1541,6,3401.7983
A0000305,6042.6676,5,3025.5282
A0000453,6948.2726,6,3265.5103
A0000031,7541.8223,10,3524.5732
A0000623,6685.1162,11,3198.7434
A0001140,6908.9514,11,3156.7325
A0000928,6483.4291,8,3117.4687
A0000434,7924.1021,11,3462.997
A0000048,7623.1359,9,3591.8026
A0000496,7889.3141,7,3459.8324
A0001036,6777.4211,5,3286.0705
A0000769,6813.6499,10,3125.0217
A0001111,6216.543,10,2961.5235
A0000423,7675.9701,7,3539.5114
A0000905,8213.5045,5,3676.7064
A0001128,7796.4847,8,3394.1433
A0000280,5751.2928,11,2747.2844
A0000112,6661.7378,10,3063.6018
A0000327,5986.4136,11,2918.1935
A0000609,6116.6117,7,3145.2011
A0000351,6081.1463,5,2954.3018
A0000460,7997.1085,9,3579.2291
A0000301,7655.1647,10,3408.4444
A0000201,6460.8657,10,3135.7227
A0000357,6290.9071,11,3205.7975
A0000770,7979.0627,7,3544.8124
A0000099,6836.8226,7,3334.9878
A0000966,7673.4025,5,3626.5693
A0000149,7957.4634,11,3664.1288
A0000291,7652.5096,8,3426.0492
A0000704,7478.4151,8,3343.2681
A0001101,7874.2066,5,3634.3062
A0000364,7201.9278,6,3233.8675
A0000851,6872.1573,6,3425.5474
A0000440,7896.7968,5,3538.2787
A0000056,7572.3526,6,3456.9108
A0000189,7912.7423,9,3526.9119
A0000342,7470.8311,6,3443.0769
A0000164,6180.8433,8,3141.3433
A0000806,6975.0559,6,3170.9777
A0000544,6883.6747,11,3056.3034
A0001113,7015.0183,7,3286.8894
A0000035,7112.3095,11,3509.2031
A0001049,6583.8549,8,3313.1634
A0000492,7779.3235,11,3622.5481
A0000251,6854.0395,8,2981.7777
A0000451,7866.1744,10,3445.1141
A0001133,7052.8769,9,3192.0404
A0000683,7963.2372,9,3350.8445
A0000987,6069.1434,8,3162.7758
A0000002,6581.4954,9,3110.6861
A0001162,6969.4684,8,3208.0339
A0001076,7289.6337,6,3114.2368
A0000145,7817.6546,10,3618.9207
A0000152,7915.4249,10,3647.7001
A0000790,6060.9339,10,2793.9314
A0000272,7356.7391,7,3415.4977
A0001180,8107.8377,9,3325.9623
A0001118,7295.3452,5,3432.7382
A0000105,8428.1482,9,3740.3431
A0000268,7001.7379,7,3182.136
A0001094,7132.0993,7,3309.4275
A0000532,7091.7046,6,3254.2039
A0001137,6242.1149,11,2985.1079
A0000178,7547.1361,9,3380.2777
A0001058,6111.4447,10,3129.1148
A0000655,7364.9009,10,3380.144
A0000468,6065.1773,7,3046.6792
A0001055,6474.4939,6,2941.6231
A0000677,6628.6912,5,3138.889
A0000171,8027.3931,9,3558.7272
A0000235,8400.9513,6,3610.5556
A0000168,6933.1563,6,3225.5951
A0000412,5908.2259,6,3116.0286
A0000606,7387.696,8,3331.3262
A0000161,8555.4705,5,3687.4911
A0000229,5820.0674,5,3020.3265
A0000925,8026.931,8,3477.7322
A0000497,8571.3537,7,3533.5325
A0000150,7789.4043,10,3372.7791
A0000172,8223.418,11,3284.6122
A0000436,8025.2407,5,3561.2338
A0000822,8307.8529,5,3575.234
A0000964,8654.2228,9,3708.0947
A0000748,8235.397,7,3680.1422
A0001081,6263.8714,11,3023.9785
A0000101,7129.0629,11,3301.2091
A0000432,6065.8572,7,2734.6234
A0000215,8008.1005,7,3497.9407
A0000306,8699.9801,11,3531.8262
A0000067,7716.6741,11,3493.0302
A0000764,8193.7383,5,3671.1223
A0000730,6748.795,5,3353.3354
A0001069,7238.9426,10,3455.9809
A0001052,8682.0934,6,3782.9172
A0000849,5722.6092,5,2838.5657
A0000995,5737.8414,5,2991.2821
A0000175,7014.0865,5,3480.3199
A0000751,5759.6005,5,2925.9369
A0000744,7931.6302,9,3615.3854
A0000954,7430.9402,10,3593.2695
A0000325,7761.6467,9,3260.098
A0001189,6858.044,7,3235.7096
A0000807,8670.7256,7,3552.0279
A0000595,6433.8553,6,3266.3264
A0000343,8428.1601,8,3573.4015
A0001143,7487.5875,5,3368.5023
A0000179,6760.5672,10,2932.9959
A0000578,7202.6386,8,3244.0429
A0000573,8288.0325,5,3713.9831
A0000315,7294.925,5,3740.5652
A0000220,7044.607,9,3164.5055
A0000586,6725.9218,6,3264.0346
A0001006,6149.6565,9,3054.248
A0000874,7035.8635,10,3113.8923
A0001134,7615.7999,11,3421.0935
A0000648,8581.5035,7,3466.0835
A0000771,6046.8194,5,3050.4764
A0000688,8460.4562,7,3620.9374
A0000906,7916.6585,5,3429.0811
A0000137,5748.0948,10,2940.3775
A0000093,6060.1742,5,2916.4404
A0001192,5908.4467,11,2889.5316
A0000815,8378.6205,8,3550.8866
A0000669,7581.1585,8,3149.7832
A0000542,6936.0287,6,3444.6555
A0000367,5973.255,5,3040.5235
A0000659,7531.3026,5,3283.615
A0001002,7372.1708,5,3089.4181
A0001075,6561.8565,8,3113.3537
A0001056,6740.9482,6,3244.3169
A0000660,6425.8804,5,3288.2654
A0000797,8248.4329,7,3516.3444
A0000616,7221.5558,6,3556.189
A0000184,6850.4789,10,3267.2203
A0001167,7400.4222,11,3451.7212
A0000158,8669.1742,11,3618.0589
A0000745,8577.5609,9,3584.1105
A0000585,6863.5992,11,3218.5241
A0000041,7123.8027,8,3349.9132
A0000177,8369.0965,9,3664.7541
A0001153,8535.8427,5,3745.5969
A0000574,7598.0885,7,3448.4577
A0001127,6798.4426,11,3216.0601
A0001104,6314.7309,11,2926.5916
A0000125,6569.0686,9,3022.8762
A0000196,7028.5067,9,3456.0808
A0000803,8341.6689,11,3319.9166
A0000039,7554.9203,5,3654.8303
A0001034,7611.3511,10,3358.9786
A0000503,6864.5253,8,3152.9737
A0000443,8661.6504,11,3640.5195
A0000868,5991.9099,8,2957.8263
A0000824,7554.8012,6,3281.2545
A0000736,8146.59,7,3521.0427
A0000873,8568.6417,11,3720.2744
A0000054,6671.0275,11,3192.2751
A0000479,6638.6386,5,3285.741
A0000707,6238.3583,11,2935.0958
A0000821,6019.0307,8,2980.4388
A0000636,7390.9394,5,3287.7383
A0000120,8118.6746,8,3568.9659
A0000024,8466.0285,6,3782.1882
A0000827,7726.2814,6,3563.3164
A0000320,7135.5155,10,3226.9396
A0000242,6902.9643,9,3154.4869
A0000752,7731.7229,8,3503.2279
A0000805,6441.466,11,2997.964
A0000128,7964.9689,10,3498.9737
A0000548,8141.9929,11,3677.284
A0000916,5761.1385,9,2842.4238
A0001067,7692.4424,5,3703.377
A0000582,8561.2373,5,3783.6478
A0000211,6222.8656,9,3053.7015
A0001173,8283.0018,11,3665.857
A0000666,6548.243,9,2857.6577
A0000505,7768.9236,6,3643.8796
A0000952,7604.4991,10,3390.3396
A0000303,6832.3195,11,3015.9623
A0001102,7923.0024,7,3737.9995
A0000182,5964.6926,5,3061.7547
A0000338,6831.6982,8,3099.2765
A0000247,6694.3365,8,3217.1743
A0001088,7130.1583,9,3378.6764
A0001027,8580.3212,9,3647.3005
A0000676,6202.4937,10,3243.6095
A0000241,7101.0025,8,3093.3331
A0000949,6325.2209,11,3019.3597
A0000224,8131.1769,7,3679.9157
A0000757,6033.6444,7,2786.1267
A0000140,7125.0,9,3277.0427
A0000428,6267.8758,11,3159.5472
A0000204,8637.6209,10,3865.516
A0000057,6685.2102,11,3057.0148
A0000640,8093.4265,9,3533.9444
A0001139,6048.5624,7,3214.6973
A0000248,6169.8848,5,2981.1931
A0000679,6552.3496,7,3364.5507
A0000776,8282.5364,11,3439.5357
A0000467,5780.9708,8,2992.638
A0000106,7243.7169,8,3515.2884
A0000644,6643.5714,11,3240.3505
A0000813,7890.6235,11,3493.5407
A0000624,8209.8014,6,3787.3011
A0000016,7542.4382,9,3372.4425
A0000202,8113.0293,5,3561.6265
A0000073,5981.1174,11,2892.5947
A0001048,6254.193,10,3200.7604
A0001015,7557.7481,10,3324.2312
A0000617,5918.2776,10,2834.6705
A0000029,8297.4168,8,3482.6383
A0000766,6879.3258,5,3176.0487
A0000641,7032.8553,9,3294.8424
A0001157,6391.6073,10,3119.2687
A0000705,7622.0946,11,3542.9942
A0000289,7471.9187,8,3295.7105
A0000376,7678.6351,5,3375.5859
A0001170,7471.8566,10,3288.395
A0000319,7907.8953,9,3485.0534
A0000643,8449.506,10,3432.45
A0000825,7778.3957,9,3285.6527
A0000081,7995.9777,7,3535.6187
A0000979,7245.4746,9,3523.3646
A0000372,5792.1531,5,2949.2694
A0000095,5787.2751,10,2956.6493
A0000256,8621.1152,5,3747.8087
A0000478,7261.8703,9,3307.7454
A0001013,8445.2303,11,3342.7234
A0000896,7285.6688,11,3276.1932
A0000706,5764.1191,9,3081.2534
A0001150,6421.6214,7,3089.9044
A0000277,6965.3661,6,3313.9482
A0001125,7606.3744,8,3308.0865
A0001065,6449.669,7,3028.1924
A0000084,6699.9097,10,3258.9341
A0000721,7042.1927,5,3327.3183
A0000223,7096.3222,11,3463.4397
A0000714,7629.8323,7,3353.657
A0000049,7051.5865,6,3312.2883
A0000006,8123.3629,11,3632.183
A0000546,8113.9,8,3613.6862
A0000022,5927.2862,5,3168.9217
A0001196,8325.3191,10,3515.3734
A0000037,7451.1859,7,3526.5453
A0000569,7310.6557,7,3425.6344
A0000470,7303.851,5,3318.4494
A0000354,7130.142,11,3266.5541
A0000612,7919.8311,9,3518.0982
A0000540,7232.8024,10,3163.9421
A0000961,6315.0711,7,3054.1633
A0000962,7345.1472,6,3502.9847
A0000200,6166.8795,5,2813.2888
A0000944,7999.0835,6,3879.1304
A0000838,6915.5648,9,3039.2081
A0000504,7489.7352,9,3306.0707
A0000447,8648.6705,9,3420.9423
A0000359,7531.9169,11,3522.9999
A0001155,6774.1293,11,3127.2466
A0000833,5974.3941,11,2869.9477
A0000907,7949.2462,7,3527.7243
A0001195,7192.2628,10,3198.2555
A0000740,5777.9178,9,2827.8074
A0000269,7175.3319,7,3278.5003
A0000043,5801.5618,11,2706.1697
A0000018,7870.7658,11,3456.1321
A0001154,6912.2005,5,3388.0913
A0001009,7488.7367,11,3225.1613
A0000576,6328.862,8,3275.6287
A0000439,6269.2781,6,2913.0512
A0000392,6148.01,6,2962.6431
A0000092,8156.6779,10,3729.1552
A0000083,7666.9455,11,3580.256
A0000698,8573.2971,10,3678.0654
A0000199,6058.8554,6,3156.7332
A0000596,7545.1399,8,3413.9877
A0000910,6358.7829,8,3115.1691
A0000471,8005.8246,10,3420.8028
A0001031,8506.4793,10,3607.8729
A0000537,8375.8975,9,3624.8003
A0000133,7140.8933,10,3430.0917
A0000564,6765.0917,6,3237.7767
A0000767,6219.2076,5,2969.5139
A0000649,8088.0717,7,3616.501
A0000555,6618.1407,7,3332.5993
A0000075,6898.4948,5,3228.8484
A0000527,8302.6415,6,3640.3457
A0000854,6469.3705,7,3135.6646
A0000647,7804.7006,8,3672.6295
A0001141,8565.935,8,3648.0295
A0000894,8569.5197,9,3545.47
A0000562,6580.5968,11,3296.7596
A0000219,7610.25,8,3296.5851
A0000567,6214.3033,7,2796.0278
A0000017,7845.1663,9,3439.0947
A0000213,6519.8027,8,3198.4114
A0000080,8336.4835,6,3631.902
A0000501,6023.0028,10,2913.7069
A0001017,7563.9463,9,3288.8821
A0000864,7240.09,11,3292.7502
A0000486,7819.4848,8,3488.923
A0000763,6339.2144,5,3147.7264
A0000984,5801.7773,10,2940.9119
A0000068,8259.5657,5,3392.8751
A0000374,7387.0176,11,3373.5377
A0000690,7063.5418,8,3286.1837
A0000559,6433.6143,8,3061.2218
A0000793,6191.2602,7,3136.7879
A0000156,6666.5151,11,2942.3044
A0000452,7588.0762,8,3455.2381
A0000111,7530.6566,6,3433.3191
A0000109,6657.3539,6,2898.6526
A0000071,7610.5354,8,3317.5285
A0000972,8392.037,11,3510.0685
A0001030,7403.5923,9,3599.7762
A0001105,8503.0821,8,3590.0261
A0000053,6344.0832,5,3234.7602
A0000026,7911.5864,8,3459.8975
A0000958,6118.2746,7,2992.0425
A0000997,7973.1507,7,3493.7669
A0000253,7397.5176,5,3379.5627
A0000809,6731.7703,9,2906.4982
A0001164,6710.4432,6,3047.3897
A0000934,6145.9447,6,3279.4451
A0000148,8335.7451,5,3484.1236
A0000755,6389.7623,10,2769.1384
A0000304,8203.4753,8,3452.6134
A0000237,8637.4783,5,3665.5679
A0000243,7834.9877,11,3321.8666
A0001158,7732.5683,11,3443.6598
A0000104,7573.6273,7,3510.7883
A0001131,7264.7056,5,3530.0449
A0000722,6794.0543,7,3095.9218
A0000385,6873.4614,7,3276.1201
A0000840,6402.3283,9,3066.3182
A0000536,8644.8463,9,3806.8525
A0000746,7565.1697,6,3378.2346
A0000765,7806.1012,6,3319.0197
A0000388,7372.8884,5,3645.7547
A0000212,7361.2149,7,3542.6518
A0000780,6858.6009,7,3156.753
A0000888,8641.2633,7,3695.3355
A0000004,8258.2674,5,3667.8926
A0000381,7686.468,11,3308.2353
A0000473,8580.3192,6,3472.9803
A0000055,6573.9394,10,3165.5263
A0000186,5793.7952,10,2834.7329
A0000789,7820.3026,11,3488.7688
A0000785,7360.8131,11,3353.755
A0000465,8051.414,11,3425.729
A0000033,5941.1824,10,2812.7292
A0000963,7421.6113,9,3419.2918
A0000855,8169.6509,6,3543.347
A0001132,7119.1399,10,3183.0636
A0001112,7406.1503,6,3531.0839
A0000110,6941.3086,10,3167.7124
A0000061,7835.5702,9,3523.0838
A0000382,7917.0014,9,3573.0555
A0000270,7259.9607,5,3356.2572
A0000266,5823.8636,6,2986.3043
A0000060,6382.8644,10,2968.8067
A0000143,6769.888,10,3085.7422
A0000743,8199.6348,11,3558.0057
A0000848,6626.128,6,3243.6902
A0001097,5880.1417,6,2865.5457
A0000387,7856.2952,11,3441.2928
A0000296,6683.6439,7,3245.0623
A0000509,6834.574,9,3200.1247
A0000391,8172.101,8,3501.7
A0000408,8100.0033,11,3629.9797
A0001061,7833.2988,11,3524.6751
A0000826,6233.4211,11,2807.9938
A0001080,8047.2432,11,3610.117
A0000762,8122.5801,10,3654.4006
A0001035,8532.4641,5,3710.5784
A0000264,5725.5143,6,2890.484
A0000625,6343.9487,8,3092.7648
A0001188,7044.4215,6,3561.2267
A0000371,6958.4581,11,3207.4426
A0001024,8689.1255,7,3931.0856
A0000174,7388.0124,11,3149.1819
A0000350,8446.1364,7,3655.0687
A0001148,8256.414,10,3454.8979
A0000839,6036.787,9,2978.0577
A0000909,5821.4984,5,2964.3141
A0000547,7230.4617,11,3355.0687
A0000012,6142.5574,10,3221.5575
A0000404,7723.7965,6,3538.8753
A0000036,7389.1245,6,3545.0147
A0000556,7275.2263,6,3332.4659
A0000887,8580.4424,7,3704.9077
A0000231,6623.2304,9,3025.1659
A0000678,8147.9662,11,3458.3347
A0000403,8075.7219,6,3704.1849
A0000233,8116.1774,7,3769.7834
A0000027,7886.8479,5,3406.6801
A0000042,7118.3623,7,3372.2798
A0000761,8502.7043,5,3531.0871
A0001096,6339.9357,9,3167.3036
A0000856,6618.0988,8,3113.301
A0000890,8235.5262,9,3604.4092
A0000620,6869.9456,10,3381.3744
A0000047,7047.0099,8,3409.9663
A0000500,8565.1343,5,3735.0066
A0000832,6690.8177,11,3112.4528
A0000932,6784.0307,5,3220.3327
A0000138,7293.4306,10,3441.626
