listing_id,area_sqm,building_age_years,metro_m,center_km,bedrooms,floor,amenities_1km,renovation_score,has_elevator,sunlight_hours,monthly_rent
B0001842,152.467,17,2911.5126,23.9086,5,9,0,3,0,5.7489,3844.2359
B0016841,58.4286,8,3683.5944,20.7276,1,18,2,3,1,6.9244,2606.144
B0020500,153.4889,7,3163.4956,23.8395,5,18,2,3,1,7.7056,4512.3786
B0013598,107.8637,23,1383.1127,4.2017,3,10,10,3,0,6.3134,3918.2957
B0016775,68.4903,5,999.0022,5.4746,3,5,9,3,1,4.6433,3350.4353
B0021453,130.7913,30,120.0,2.6592,4,13,15,2,1,5.9454,4949.7114
B0020277,100.6682,13,1526.1934,3.7659,3,28,12,1,1,5.6158,4107.6583
B0020242,106.95,23,2646.0813,22.1122,4,15,6,3,1,5.7773,3445.007
B0020047,126.6785,9,120.0,5.8755,4,2,9,5,1,5.0524,5205.7293
B0000299,69.9899,11,1876.9732,2.1302,2,7,15,3,0,6.5096,3516.4872
B0007269,68.4638,3,1678.18,10.8425,2,17,9,4,1,4.4918,3345.5422
B0003206,47.4303,25,265.012,7.4944,2,13,14,3,1,7.4451,2901.3563
B0003551,80.091,31,260.5038,8.9188,3,23,16,2,1,5.3036,3771.8621
B0012594,121.6509,6,2898.9354,15.9555,4,22,7,2,1,6.9488,4091.3627
B0002575,58.4623,32,120.0,4.1927,2,14,13,1,1,5.5144,2868.9094
B0013392,72.4503,0,4448.9334,23.4332,3,11,1,5,1,4.7817,2827.5991
B0004690,130.5052,21,2078.2856,23.797,3,4,0,3,0,5.0373,3683.0917
B0018467,82.7268,14,933.2203,9.4375,2,11,7,2,1,6.4358,3519.0076
B0002426,50.2128,15,3722.829,21.3687,2,6,5,2,0,6.6176,1950.882
B0013568,51.9928,13,408.0629,2.1079,1,11,15,2,1,7.3365,3008.8311
B0001205,46.3766,4,2025.9041,12.8743,1,15,9,3,1,6.4066,2567.482
B0012995,111.5436,9,120.0,6.2772,3,24,10,4,1,5.9404,5079.0524
B0011183,110.7385,22,3541.1128,15.7992,4,10,8,2,0,5.2104,3460.6685
B0018110,124.1096,21,682.1596,10.3449,3,19,7,1,1,4.9551,4117.9677
B0020501,124.4399,5,284.897,12.8831,3,26,4,4,1,6.6546,5221.8856
B0021708,64.3114,30,2192.3899,14.6428,2,15,6,1,0,4.0139,1985.8487
B0003753,114.188,10,3737.367,20.033,3,1,2,4,0,4.5298,3440.9116
B0003871,86.9845,15,4900.0,24.2273,3,11,1,2,1,3.8742,2958.585
B0009913,90.3907,16,3043.8282,21.205,3,20,2,4,1,5.1257,3093.9692
B0002851,91.766,32,819.8273,18.1216,3,27,8,1,1,5.6132,3259.0328
B0003405,42.0511,6,1147.1228,7.1381,1,2,11,4,0,4.7495,2572.5707
B0010917,107.7443,26,1768.6747,3.8463,3,14,14,1,1,4.9702,3883.9866
B0001951,129.1314,2,3293.3786,21.402,5,12,5,2,1,6.2494,4041.393
B0019840,99.6792,4,4680.7202,22.2034,3,5,5,3,1,5.3324,3468.0239
B0004702,72.3571,24,120.0,3.5026,3,4,11,3,0,5.8944,3580.8354
B0020913,53.3161,30,120.0,5.0382,2,26,12,3,1,5.988,2944.9424
B0001207,94.0814,3,2197.5814,11.0331,2,9,9,3,1,4.3502,3757.7563
B0020305,111.5298,23,4374.3919,23.5568,4,20,4,2,1,4.781,3298.348
B0005017,73.201,27,1077.2562,10.2693,1,20,10,1,1,4.7384,2942.5506
B0012477,36.0066,11,837.4738,17.9099,1,16,11,3,1,3.2874,2210.7563
B0002828,103.628,30,2291.7568,13.704,3,13,8,1,1,6.7184,3011.4578
B0000343,128.4061,18,3592.0783,19.3069,3,10,5,2,1,7.3903,3621.5115
B0016809,88.1299,15,2822.9272,23.6523,3,15,2,4,1,5.4818,3010.1747
B0011720,61.7447,10,2437.5548,15.1333,1,26,9,3,1,4.379,2896.3103
B0014245,76.2625,2,3930.8928,14.9931,3,11,7,3,1,4.2526,3169.0925
B0017779,48.4869,7,2312.2969,20.1691,1,21,3,5,1,5.031,2184.3078
B0009107,104.0502,10,4900.0,23.7678,3,12,3,4,1,2.936,3566.466
B0015563,39.8118,17,2567.6556,20.9086,1,16,1,2,1,6.2065,1649.7047
B0019762,41.2018,16,960.2982,15.4162,1,26,8,2,1,3.5801,2228.5282
B0002451,127.61,20,1332.6553,17.255,4,8,6,2,1,6.0079,4021.2896
B0014061,120.6369,32,2896.9283,24.0862,3,2,6,2,0,6.58,3035.6528
B0019780,138.214,31,2649.5563,19.996,4,18,3,3,1,7.3287,3682.4054
B0019922,80.6569,21,1733.5922,18.0539,2,6,5,3,1,6.1217,2981.9501
B0013342,87.7875,25,120.0,2.0332,3,21,16,3,1,6.6846,4320.172
B0017106,118.4673,32,918.614,2.1147,3,25,12,3,1,6.0907,4377.1376
B0009789,43.9142,12,1961.7468,12.3894,2,24,6,2,1,4.6911,2462.2212
B0012607,94.118,29,120.0,7.1828,2,16,12,1,1,7.1594,4133.3802
B0000607,125.6825,6,314.1995,1.6989,4,7,14,3,1,5.8011,5278.2585
B0016982,152.3569,26,2622.4356,9.2511,5,23,11,5,1,8.193,5030.2495
B0015815,57.8143,30,1369.2506,2.2117,2,12,9,3,1,6.283,2649.0242
B0006698,112.6125,1,120.0,4.1685,4,16,16,5,1,5.9332,5303.7943
B0006915,124.0119,14,4444.7007,19.5528,4,9,6,2,0,5.445,3481.982
B0020056,87.9703,32,3440.8961,23.1446,3,6,2,4,0,5.5048,2546.2029
B0017363,109.0457,28,348.732,3.3477,4,27,14,1,1,6.364,4594.4613
B0016523,51.3663,11,1117.8302,8.8861,1,9,10,5,1,4.5687,2861.7542
B0018896,41.0802,10,1098.0695,10.6772,1,20,8,3,1,5.1275,2518.7439
B0021208,125.4935,31,4200.5582,19.4169,4,16,4,2,0,4.3873,3116.4129
B0008157,53.143,24,4344.8881,18.6403,2,14,3,1,0,3.6031,1496.7801
B0001930,58.0902,28,3068.8902,23.7487,2,9,3,2,0,5.8249,1735.6499
B0013632,73.4629,25,2383.4332,15.3244,1,5,7,3,0,5.0048,2432.2401
B0020709,133.5736,27,661.0103,4.2979,3,11,10,3,0,5.6236,4349.5468
B0005094,35.7089,21,120.0,3.0235,1,23,14,2,1,3.8308,2714.4713
B0005918,102.4918,13,1251.5702,11.2312,3,21,8,3,1,6.2651,3922.5422
B0021007,87.3729,31,120.0,5.4371,3,19,12,1,1,4.2855,3937.4741
B0003722,100.9894,9,1387.6127,4.2156,3,12,9,3,1,6.4927,4133.0196
B0005765,133.7412,24,1357.9374,4.6007,5,8,13,2,0,5.5176,4460.3439
B0012326,70.6016,24,2330.5715,18.626,2,10,3,1,1,5.0472,2196.7773
B0002098,151.3084,14,1865.3227,18.1011,4,28,4,1,1,5.0757,4348.9569
B0005959,134.0832,16,1861.0105,19.8982,4,16,9,3,1,6.1349,4184.8814
B0007366,102.1674,26,1261.5156,9.4882,3,13,7,3,1,6.8804,3801.9478
B0018393,151.3319,22,1367.0283,17.9954,5,3,10,3,0,6.2908,4764.3137
B0014253,81.0433,9,2894.865,18.5792,2,1,6,4,0,6.8792,3072.0525
B0015656,66.033,10,3788.5683,19.3883,2,16,3,3,1,4.1979,2477.6572
B0003036,85.9038,5,2589.5653,17.1334,1,25,4,5,1,4.1998,3288.7231
B0009706,51.4895,14,1006.9603,22.6211,2,21,5,2,1,6.5365,2375.6003
B0011195,64.1725,16,1099.5924,13.4527,1,19,8,3,1,4.5794,2967.7148
B0003143,133.3177,20,2020.1121,16.1581,4,5,11,2,1,7.2378,4125.6213
B0016439,65.8186,16,1621.8823,11.6942,3,12,8,2,1,5.9139,2938.9918
B0010391,59.9848,6,825.0212,10.7717,1,13,11,4,1,6.0387,3199.4202
B0005760,51.0022,22,261.6727,14.3377,1,8,11,2,0,4.8205,2533.2207
B0003932,90.6063,0,1399.4968,15.3807,3,28,7,3,1,7.2161,3871.5967
B0010379,83.2232,0,2250.3651,17.4756,3,26,7,2,1,5.4877,3318.0652
B0007205,99.6791,5,628.7098,11.741,3,10,9,3,1,4.9248,4243.7875
B0021683,114.1767,27,2717.9853,12.8839,4,12,5,2,1,7.4878,3723.4835
B0004491,117.5941,12,3076.3926,20.1256,4,24,6,5,1,2.8102,4084.4517
B0010127,35.5048,10,1002.3125,3.2735,1,2,12,1,0,6.5333,2330.859
B0020031,125.0096,7,2107.7917,18.7573,4,5,3,4,0,5.5479,4227.7829
B0021380,99.8277,4,2409.9495,23.9974,4,6,2,3,0,7.5827,3403.1999
B0012017,140.073,7,739.2793,12.0207,4,21,12,4,1,6.2345,5174.2418
B0012796,146.9446,28,120.0,2.4151,5,9,12,1,0,7.7315,5194.8917
B0003470,76.5722,12,120.0,10.2912,2,14,12,3,0,4.1663,3766.7196
B0019055,38.5682,14,120.0,6.0653,1,8,12,3,1,6.2261,2638.5082
B0004673,70.4303,27,2546.7788,16.9597,2,24,0,3,1,6.7196,2698.9544
B0000722,59.7312,27,471.8174,9.049,1,1,7,2,0,4.7975,2633.4999
B0008716,80.1212,13,1803.4426,8.8195,2,12,7,4,1,6.0393,3433.8674
B0001342,143.9653,21,4442.6743,24.9327,5,14,2,2,1,4.6218,3736.6116
B0019123,62.7999,27,1513.1493,5.7094,2,7,15,1,0,8.0671,2582.4574
B0021366,49.6543,15,2004.3087,10.8659,2,25,8,2,1,6.3047,2344.4989
B0018895,152.3649,24,1438.2673,10.5902,4,12,9,3,1,6.0155,4749.9398
B0009696,145.6688,7,3418.005,16.477,5,26,5,3,1,8.1062,4631.0309
B0007603,143.0114,14,2139.998,3.8851,4,7,13,3,1,7.8444,4959.0135
B0004439,49.5254,27,4503.6691,23.6799,2,11,0,3,0,5.1065,1706.7746
B0019960,152.682,30,1602.3715,24.4904,5,17,2,3,0,5.206,3718.5471
B0003839,45.6346,15,2307.7728,21.3938,2,25,2,4,1,6.2368,2253.0113
B0000122,71.0652,1,1802.2473,16.7108,1,23,7,5,1,4.3307,3235.655
B0004079,80.1448,8,4468.4978,20.9383,2,18,1,2,1,4.4562,2862.9975
B0002618,91.4209,8,2359.7679,21.0391,3,19,4,4,1,4.3407,3452.3163
B0007007,99.6258,2,1184.0577,3.8258,3,17,16,3,1,6.3532,4420.7774
B0011300,70.4872,24,1632.9629,2.9192,1,20,14,2,1,4.7776,3191.2671
B0010890,64.2953,30,1041.1585,15.4294,3,8,9,3,0,5.4318,2714.349
B0000332,59.0674,14,2801.1399,17.9608,2,17,3,4,1,6.1651,2626.0719
B0012610,119.4937,22,1176.0953,17.8775,4,14,6,4,1,5.8679,3915.9721
B0004640,111.2395,32,1598.8738,11.6228,3,22,11,2,1,6.1499,3786.6485
B0005788,65.9453,5,237.1762,3.0718,2,16,15,3,1,6.6358,3930.2524
B0012173,71.3367,27,3654.1145,22.5625,3,28,5,4,1,3.7434,2735.1599
B0011078,50.7598,16,1007.4029,9.7186,2,10,10,2,1,5.0491,2511.844
B0007713,92.0304,18,2080.126,10.1591,4,22,6,2,1,4.5111,3705.4241
B0018361,144.7168,28,2040.3552,15.075,5,17,8,2,1,5.4701,4407.3257
B0000797,59.173,30,3127.3988,17.5772,2,23,6,2,1,5.6162,2075.5862
B0002434,53.2183,1,3808.4738,9.9525,2,15,8,3,1,5.361,2786.6726
B0016354,146.0629,2,2949.2042,14.9501,5,16,5,4,1,4.8031,4577.1197
B0001911,112.6519,21,120.0,12.767,4,3,7,4,0,7.0008,4343.01
B0009118,78.9288,6,988.6102,10.0795,2,26,13,3,1,4.7213,3567.9801
B0005312,102.7941,20,1513.4829,5.0427,4,23,16,3,1,5.95,4486.141
B0000556,126.8494,13,368.7811,10.2097,4,2,11,3,0,5.7704,4862.0941
B0012036,116.6013,23,3122.9151,19.7894,3,22,3,4,1,5.8979,3467.3777
B0013519,133.4418,16,1485.9126,13.4375,4,13,9,1,1,4.218,4280.157
B0017746,111.9157,28,1409.7499,12.9229,4,6,8,2,0,6.1916,3624.9657
B0022033,83.3054,8,3209.1065,20.2558,3,11,3,4,1,5.4299,2920.8458
B0006830,61.0968,19,2653.0346,14.7066,1,13,10,3,1,5.1831,2830.5252
B0016406,138.549,32,120.0,2.346,5,2,13,1,1,7.935,4954.5097
B0004014,54.9067,1,3567.9186,18.2543,2,18,3,3,1,7.0734,2599.0592
B0002917,118.2123,32,3641.2232,15.1566,5,1,5,3,0,5.6909,3331.406
B0017057,81.2836,11,2800.416,15.0656,2,8,7,3,1,4.4163,3164.6644
B0003475,118.6984,2,2133.3093,21.7058,4,27,3,2,1,6.0275,3821.2872
B0016381,38.9601,13,1538.4191,5.468,1,8,10,2,1,4.2697,2421.9668
B0006531,64.5682,10,1444.8974,7.3812,1,19,9,3,1,5.5232,3051.0538
B0012839,81.0356,12,3784.1171,20.2345,3,23,4,3,1,3.3923,2938.8878
B0004869,101.6896,20,599.1983,6.9939,3,16,11,3,1,7.63,4273.504
B0014543,114.619,8,1221.9875,9.0258,3,4,12,4,0,6.147,4325.2039
B0021465,44.913,2,3693.6354,10.8475,1,7,10,3,1,5.2042,2319.1107
B0002646,107.4167,24,3237.5924,14.8997,3,26,5,2,1,7.4303,3576.5675
B0015924,35.6697,4,120.0,13.3022,1,20,10,2,1,5.1419,2468.2486
B0000568,100.7856,19,1525.1138,17.5689,3,25,4,5,1,5.3188,3896.0634
B0003416,42.3419,6,1300.5572,9.8364,1,26,10,2,1,6.1114,2464.7471
B0019919,52.3077,7,3365.3298,16.9835,1,9,7,2,1,5.1571,2143.0431
B0001960,126.5353,8,2866.9413,23.3675,4,1,0,4,0,4.5429,3850.353
B0003310,140.6811,29,120.0,5.5994,5,19,11,2,1,6.6223,5208.3991
B0010826,97.8977,13,1722.4616,14.1781,2,24,6,3,1,4.5331,3640.2341
B0020562,125.3742,8,2634.1813,20.7737,4,4,5,3,0,6.3305,4012.6535
B0022199,81.9996,1,1363.6488,2.4334,2,14,11,4,1,5.4834,4062.1103
B0008646,112.667,7,3209.6983,18.5508,4,15,4,2,1,4.9945,3442.0534
B0002512,77.3411,29,2334.831,12.691,2,16,9,2,1,4.9163,2907.8865
B0001158,39.5091,8,812.3694,1.6463,1,3,13,4,0,6.2868,2700.1231
B0011911,150.0673,5,2575.6113,18.8296,5,14,7,3,1,6.5335,4698.21
B0000920,72.5086,4,2955.365,21.7963,3,19,6,3,1,5.7784,3200.8626
B0007272,73.089,4,1841.5097,12.8916,2,22,7,2,1,3.8091,3211.5997
B0003763,84.1915,11,255.5972,8.6278,3,6,9,3,0,7.1638,4111.0709
B0013020,36.71,19,1660.2419,4.7171,1,4,11,2,1,5.0846,1982.6558
B0015011,120.4678,12,1197.3133,11.0625,4,13,10,3,1,4.8563,4322.7494
B0006081,89.3241,31,1383.8775,16.5985,3,7,4,2,1,6.3882,2781.2931
B0011279,63.6197,19,120.0,4.1988,1,17,12,4,1,5.02,3674.378
B0010429,49.4419,4,2336.5927,24.6005,1,15,4,3,1,3.1023,2006.1079
B0008631,118.7511,26,4220.2577,22.4097,3,11,2,2,0,5.2493,3156.6275
B0007807,151.7274,1,1669.5962,12.0166,4,21,13,4,1,5.1929,5300.9568
B0012561,144.0953,28,1865.0661,15.8144,5,19,6,3,1,6.1661,4199.1529
B0003449,97.3861,27,1469.5117,4.4726,3,28,11,4,1,6.0259,4122.0006
B0006603,76.6524,25,1889.8035,8.7874,2,21,11,3,1,3.8874,3120.6283
B0001221,62.1595,8,217.3658,7.3488,1,26,8,3,1,5.7262,3544.2186
B0020457,48.3561,13,330.4526,4.8789,2,2,13,4,1,5.0125,3240.4077
B0022120,82.8693,13,3186.2819,19.1596,2,23,5,4,1,5.8966,3064.6934
B0013570,143.9478,25,1154.8758,6.7671,4,24,11,4,1,5.4786,4925.3268
B0021000,62.0499,10,2754.4162,14.9568,2,17,6,1,1,2.8858,2611.2846
B0019587,129.3268,4,1868.1325,8.9575,4,18,12,4,1,6.3828,4806.698
B0015549,87.4883,9,1822.0727,16.1668,3,11,9,2,1,6.6162,3566.614
B0014548,96.439,16,2789.0301,19.9821,3,25,7,4,1,7.5514,3725.3936
B0015360,43.4376,18,516.2875,13.1558,1,26,6,3,1,5.3128,2482.3076
B0021808,37.3371,16,2393.6511,10.4541,1,13,10,3,1,3.1273,2231.7315
B0019926,55.4598,30,120.0,4.0805,1,6,13,2,1,5.6402,2711.2816
B0005644,52.3164,7,120.0,8.8292,2,12,8,3,0,5.1388,3096.4716
B0010078,154.6704,29,2277.8012,22.7983,4,6,2,3,1,7.7684,4104.9403
B0003865,91.4488,0,856.2914,7.4892,3,8,11,4,1,4.3455,4433.5135
B0012208,67.3764,23,1872.7195,22.1105,2,9,5,3,0,5.9243,2144.9652
B0011853,35.2505,32,2221.0966,14.2542,1,17,10,1,1,7.5922,1706.6033
B0010410,41.8827,7,3252.6078,22.803,1,21,3,2,1,5.4864,1834.5372
B0007856,133.9,11,1307.1099,10.6141,4,16,12,5,1,6.3658,4947.1567
B0017188,44.7936,26,2393.1056,23.9181,2,25,2,2,1,3.6355,1362.897
B0011910,52.3743,1,2212.6448,7.7112,1,20,11,4,1,4.2802,3042.9273
B0006049,151.3903,28,2221.1195,11.6558,5,13,8,3,1,4.0801,4445.3536
B0005990,36.1257,10,120.0,1.7011,1,25,14,5,1,3.4869,2962.9425
B0004363,88.7628,10,1639.6627,11.7588,2,3,12,3,0,5.126,3766.492
B0004310,66.3406,17,3826.5673,24.2823,2,25,0,4,1,5.1428,2608.3103
B0015785,116.5304,21,2352.2555,5.2463,4,3,11,3,1,6.2672,4227.5355
B0021753,90.9553,20,4278.7296,21.5157,2,4,5,2,1,5.2914,2748.1794
B0008826,36.5869,28,2261.8003,9.5463,1,16,7,1,1,5.1141,1523.7808
B0016356,65.2176,11,2176.6949,17.3181,2,9,2,4,1,6.3472,2657.1752
B0020254,150.3019,13,2742.1442,20.7034,5,20,7,4,1,7.0271,4614.2802
B0020209,142.9705,26,3381.8402,24.8432,3,26,1,2,1,7.0676,3726.5837
B0007139,92.2974,24,2494.3388,12.3577,3,5,8,1,1,7.1929,3027.5166
B0007987,136.0226,14,1781.6572,5.4768,4,19,8,3,1,7.9247,4785.2155
B0013304,77.3812,29,1085.518,9.5104,3,5,11,1,0,5.7387,2730.8353
B0008023,112.4474,3,1726.8347,5.382,3,27,10,3,1,6.2723,4540.9714
B0022198,52.5132,9,1907.7277,5.2697,1,12,10,2,0,4.2923,2656.3308
B0000174,140.4261,23,943.554,9.083,4,20,12,2,1,6.3433,5137.3995
B0021682,122.476,16,120.0,5.1497,4,7,13,3,0,5.4237,4965.9484
B0006429,45.7397,12,547.6842,11.172,1,12,9,3,0,5.2089,2479.0578
B0017616,53.3114,13,1098.0764,4.5601,2,15,14,4,1,4.849,3225.1013
B0012866,114.928,4,2050.0894,15.5615,3,10,6,3,1,6.4032,4016.2558
B0005233,119.9598,9,2966.2661,19.1235,5,4,3,4,1,4.4092,3851.7152
B0020028,59.2869,28,601.2567,7.0698,3,5,13,2,0,4.5028,2754.8188
B0001078,113.1714,10,3566.3343,23.6905,4,22,7,4,0,5.5909,3584.4962
B0009219,47.9883,11,1320.8444,7.4349,1,5,12,4,1,3.9684,2692.1436
B0000521,84.3088,19,2956.5086,11.4003,2,21,9,1,1,3.5794,3229.3119
B0014485,63.2845,9,1585.2038,20.0942,1,2,7,3,1,3.583,2435.7676
B0006638,55.2349,20,120.0,7.6983,2,18,9,2,1,4.3875,3110.6975
B0021976,151.4257,6,2797.5735,20.3978,4,12,3,5,1,5.5439,4471.5503
B0009418,83.1288,15,2315.1542,17.546,2,13,6,5,1,4.7157,3259.4728
B0001350,36.0083,5,869.8379,3.5558,1,19,13,4,1,4.8525,2748.6812
B0020207,118.049,14,1338.2612,10.7349,3,26,10,2,1,5.3881,4434.2013
B0004511,88.1347,5,1535.5004,5.4414,2,4,8,2,0,3.7273,3496.7696
B0004160,118.8852,14,3032.6894,23.3264,4,26,2,3,1,5.0568,3818.2618
B0014086,142.1856,1,2369.934,22.7291,4,21,4,3,1,6.7132,4616.4712
B0020680,113.1381,24,2527.0348,4.4848,4,15,8,2,1,6.2353,3788.5674
B0015670,144.1989,6,3559.86,20.9392,4,7,3,2,1,6.283,4001.2502
B0005858,38.1492,26,120.0,3.1291,1,19,13,2,1,4.4015,2575.8234
B0018668,61.0829,8,1748.4158,6.3551,1,22,12,5,1,4.7747,3397.7971
B0001251,91.6335,6,2824.9322,13.3799,4,16,7,2,1,4.1117,3514.5428
B0020533,75.5309,25,1485.9181,18.8533,1,6,7,3,1,4.392,2599.4514
B0001415,92.0493,3,120.0,6.4835,3,24,9,2,1,3.9439,4384.6104
B0012277,153.7205,28,2227.9663,22.1149,4,13,2,1,1,4.7446,3907.8159
B0019255,114.3663,11,329.938,3.56,4,19,9,4,1,4.9169,4889.3372
B0015405,35.1909,17,2054.8656,16.6376,2,22,6,3,1,6.4749,1887.1007
B0001944,142.2703,13,618.4233,6.0352,5,27,12,3,1,5.8833,5489.3914
B0019583,111.7171,27,2410.8301,23.8254,2,19,3,3,1,5.3895,3168.5383
B0019930,118.6357,23,272.4204,2.3088,3,11,11,3,1,6.6449,4700.5077
B0000130,74.0218,31,1348.9054,3.6441,3,21,13,2,1,5.1458,2982.7525
B0015132,93.1757,26,2132.4254,18.3069,1,7,4,2,1,5.4536,2933.5037
B0013423,134.9116,19,2890.0726,24.6733,4,21,3,2,1,5.8768,3757.1448
B0021697,100.6492,20,727.9381,14.3411,3,5,6,2,0,5.2407,3720.8321
B0013375,70.0162,8,923.0319,3.1265,3,6,13,1,0,6.1401,3410.5314
B0019790,138.7558,18,3085.5374,13.9237,4,11,8,2,1,4.6534,4185.1846
B0007594,40.9953,1,1250.4793,6.5201,1,15,10,4,1,3.7732,2585.3935
B0011846,72.6903,25,1211.1273,17.1162,2,22,7,3,1,5.055,3081.616
B0021090,111.1752,30,2821.2031,21.6623,4,2,5,3,0,6.3325,3151.8902
B0005569,89.5313,28,2945.0407,8.0067,3,27,10,3,1,5.1023,3625.1958
B0016662,38.5209,29,4058.3369,24.076,1,13,4,2,1,3.6886,1168.6263
B0007365,85.5614,1,1476.4364,12.504,2,12,8,2,1,4.8359,3595.3758
B0017461,122.4834,19,1577.5398,16.4927,4,16,5,3,1,6.0528,4200.6351
B0006121,37.3652,4,4017.7758,18.8716,2,17,7,4,1,4.3293,2115.6614
B0015150,46.3733,26,2799.2021,11.4607,1,25,9,2,1,4.6602,2134.4686
B0022099,36.5524,28,1588.7836,24.2266,1,2,5,2,0,5.2839,1082.9381
B0004198,125.831,31,1362.0528,12.3006,4,5,7,2,0,5.259,3712.9877
B0013564,67.4471,16,2494.1688,14.9405,1,10,4,3,0,6.2406,2902.5155
B0019998,111.7001,25,1843.0849,12.982,3,1,4,2,0,6.1746,3297.6653
B0012672,36.4608,15,803.9206,10.2196,2,4,13,4,0,4.8491,2177.7852
B0014846,112.1505,12,3833.5459,21.3309,4,11,2,2,1,6.1853,3247.395
B0002760,121.1267,12,2343.4513,12.5649,4,14,10,3,1,5.6909,4343.5728
B0016658,131.8546,11,3204.6038,15.6091,5,2,6,3,0,6.4418,4191.0811
B0017662,74.2581,19,2706.3865,4.3763,3,4,8,1,0,3.6836,2744.7619
B0005841,128.2544,31,2109.2436,17.0424,3,18,8,3,1,5.506,3862.3553
B0001823,89.8879,8,2547.0918,23.5767,3,5,3,3,1,5.6976,3156.3048
B0003409,83.9753,21,2478.7878,17.7522,2,26,6,2,1,4.2536,3124.4914
B0018016,131.3478,2,1815.6013,23.6863,4,19,3,3,1,6.7962,4237.2994
B0004917,35.0771,28,120.0,2.0832,1,14,15,2,1,5.9146,2157.2979
B0021012,87.8079,1,1645.992,21.5952,3,27,4,3,1,4.5093,3497.817
B0007700,137.0884,31,630.8276,2.6002,4,25,16,4,1,7.2069,5180.4558
B0012043,50.3929,11,3433.6434,24.192,1,28,3,2,1,4.5857,2126.3304
B0011939,55.7701,6,2859.0089,20.7242,2,24,10,1,1,4.3661,2641.9248
B0015005,105.9142,10,837.194,2.5804,4,14,15,3,1,5.2009,4540.43
B0005163,139.8833,31,1376.9025,10.3395,4,18,11,1,1,6.6195,4172.9847
B0015214,61.9819,12,3273.9811,21.67,2,19,4,3,1,5.0735,2739.6619
B0012083,79.2582,24,120.0,2.5047,2,4,13,5,0,6.7631,4124.0235
B0000409,133.2049,29,3418.9448,19.3697,3,22,6,3,1,4.7685,3978.1534
B0011684,56.527,19,2572.6434,15.626,1,21,7,3,1,3.5658,2500.5952
B0020460,102.8759,16,2630.7099,18.933,4,4,6,4,1,6.8529,3726.9578
B0013474,79.9035,32,545.8631,3.1885,3,24,12,3,1,5.6923,3766.1857
B0011269,38.1763,30,3294.2529,12.4171,1,3,9,3,0,6.7203,1314.0899
B0017028,132.8282,15,3344.14,22.4379,4,24,4,3,1,6.3017,4023.448
B0009601,85.7199,14,186.0824,3.8511,3,2,9,1,0,6.6221,3707.6157
B0000460,51.4654,15,597.6738,8.4528,1,10,13,3,0,4.8458,2868.3651
B0022374,140.0861,8,1308.5825,7.6824,4,17,6,4,1,5.3368,4954.7805
B0017483,120.5352,8,1998.0122,16.2129,5,18,4,4,1,5.2148,4388.0961
B0019987,44.0149,13,3802.9243,16.7501,2,14,0,4,1,5.1171,2133.1827
B0002683,108.6248,16,2673.3395,17.9801,3,15,5,4,1,6.6502,3894.4292
B0019285,83.7568,19,716.2691,6.8781,2,26,12,2,1,5.8253,3632.1473
