listing_id,area_sqm,building_age_years,metro_m,center_km,bedrooms,floor,amenities_1km,renovation_score,has_elevator,sunlight_hours,monthly_rent,PC1,PC2,PC3,UMAP1,UMAP2
B0018467,82.7268,14,933.2203,9.4375,2,11,7,2,1,6.4358,3519.0076,-0.6772783432606272,-0.6597057492668819,0.04848892905876633,-2.5008855,5.372463
B0002426,50.2128,15,3722.829,21.3687,2,6,5,2,0,6.6176,1950.882,2.015122307854855,-0.4449107847172134,-1.868486803243404,13.913942,4.0735707
B0013568,51.9928,13,408.0629,2.1079,1,11,15,2,1,7.3365,3008.8311,-2.6458802041040155,-2.0457970960078606,0.05890736977264443,-3.7662315,7.2252088
B0001205,46.3766,4,2025.9041,12.8743,1,15,9,3,1,6.4066,2567.482,0.07486569082622897,-1.733633841680349,0.9192717184308524,-2.6295588,5.035797
B0012995,111.5436,9,120.0,6.2772,3,24,10,4,1,5.9404,5079.0524,-1.9267412397283654,-0.05197467106084081,1.6907426905669005,-1.6495315,7.503099
B0011183,110.7385,22,3541.1128,15.7992,4,10,8,2,0,5.2104,3460.6685,0.8365672995366012,1.0040981299141871,-1.7957015242414403,12.1487,5.488795
B0018110,124.1096,21,682.1596,10.3449,3,19,7,1,1,4.9551,4117.9677,-0.6883720368053904,0.11659841176820762,0.17945587654932682,-1.4251168,6.4491014
B0020501,124.4399,5,284.897,12.8831,3,26,4,4,1,6.6546,5221.8856,-0.6150929330909095,0.8276772850220194,2.0080070315136833,0.35775727,6.9360385
B0021708,64.3114,30,2192.3899,14.6428,2,15,6,1,0,4.0139,1985.8487,1.0671567411481044,-1.425551418620377,-1.984195386435043,15.101367,4.217049
B0003753,114.188,10,3737.367,20.033,3,1,2,4,0,4.5298,3440.9116,2.3404136393925867,0.7658917089011129,-1.5895793182774405,12.957058,4.2704616
B0003871,86.9845,15,4900.0,24.2273,3,11,1,2,1,3.8742,2958.585,3.67555812016781,0.23133163767373524,0.022314777684362578,-0.13072446,2.1367328
B0009913,90.3907,16,3043.8282,21.205,3,20,2,4,1,5.1257,3093.9692,2.117659696316749,0.3604789934528005,1.161114972448536,0.032539707,2.9840615
B0002851,91.766,32,819.8273,18.1216,3,27,8,1,1,5.6132,3259.0328,-0.10158236998002985,-0.14398190064345823,0.41628105395515774,-1.378486,5.6333203
B0003405,42.0511,6,1147.1228,7.1381,1,2,11,4,0,4.7495,2572.5707,-0.798999603529234,-2.5572833559562858,-1.447559861217412,15.496917,5.7093086
B0010917,107.7443,26,1768.6747,3.8463,3,14,14,1,1,4.9702,3883.9866,-1.6756448805828499,-0.4727189547651112,-0.3887966958000334,-2.9303443,7.5724034
B0001951,129.1314,2,3293.3786,21.402,5,12,5,2,1,6.2494,4041.393,1.231190301294515,2.363862030397231,0.5967437553814506,1.8959028,4.828048
B0019840,99.6792,4,4680.7202,22.2034,3,5,5,3,1,5.3324,3468.0239,2.452693214908169,0.7118295485925163,0.20471821400718132,0.77746,2.6637743
B0004702,72.3571,24,120.0,3.5026,3,4,11,3,0,5.8944,3580.8354,-2.120337636410894,-0.8128734426390577,-2.1197163114474042,15.267954,7.093381
B0020913,53.3161,30,120.0,5.0382,2,26,12,3,1,5.988,2944.9424,-1.9448538967861557,-1.7712179549724907,0.8486992732196711,-4.402691,6.9623384
B0001207,94.0814,3,2197.5814,11.0331,2,9,9,3,1,4.3502,3757.7563,0.08998134058054318,-0.9718931660412461,0.49538194751462616,-2.3294823,5.2378187
B0020305,111.5298,23,4374.3919,23.5568,4,20,4,2,1,4.781,3298.348,2.55571284831201,1.2652949632402124,0.4562028731132208,0.64810073,3.3969042
B0005017,73.201,27,1077.2562,10.2693,1,20,10,1,1,4.7384,2942.5506,-0.4699032589637041,-2.0275276000146407,0.011428254534384938,-4.7219567,4.6518335
B0012477,36.0066,11,837.4738,17.9099,1,16,11,3,1,3.2874,2210.7563,0.2974226542966612,-3.024517687840227,0.7134916355820807,-3.4734125,4.0973797
B0002828,103.628,30,2291.7568,13.704,3,13,8,1,1,6.7184,3011.4578,-0.048738360182587565,0.5463021668354745,-0.5603190598325367,-1.3143036,6.066487
B0000343,128.4061,18,3592.0783,19.3069,3,10,5,2,1,7.3903,3621.5115,1.20810654532136,1.6561879142776001,-0.10333095012671341,1.0139213,4.609509
B0016809,88.1299,15,2822.9272,23.6523,3,15,2,4,1,5.4818,3010.1747,2.1544651964776502,0.4706700478288909,0.8236687908177424,-0.008397679,2.785147
B0011720,61.7447,10,2437.5548,15.1333,1,26,9,3,1,4.379,2896.3103,0.7969555191436521,-2.0106295803244563,1.5311847894655006,-2.5234966,3.4954076
B0014245,76.2625,2,3930.8928,14.9931,3,11,7,3,1,4.2526,3169.0925,1.5150025151754989,-0.4177648645513116,0.6894635798532808,-0.31464404,2.542711
B0017779,48.4869,7,2312.2969,20.1691,1,21,3,5,1,5.031,2184.3078,1.9279942960504652,-1.6420927424805745,1.7501572474451803,-1.0551156,2.525295
B0009107,104.0502,10,4900.0,23.7678,3,12,3,4,1,2.936,3566.466,3.4190066075550285,0.19479137598417284,0.7439994880521249,0.15185459,2.043758
B0015563,39.8118,17,2567.6556,20.9086,1,16,1,2,1,6.2065,1649.7047,2.265382366464086,-1.3458250940521512,0.3210287186225261,-2.40776,2.419756
B0019762,41.2018,16,960.2982,15.4162,1,26,8,2,1,3.5801,2228.5282,0.5335014550647794,-2.7959550023319766,1.063186459069433,-3.7265055,3.7397296
B0002451,127.61,20,1332.6553,17.255,4,8,6,2,1,6.0079,4021.2896,-0.009787940709108267,1.3696353772745509,-0.344264693301937,0.3724715,5.9768496
B0014061,120.6369,32,2896.9283,24.0862,3,2,6,2,0,6.58,3035.6528,1.3215722803170575,1.3048844071674208,-2.715491490728986,12.390509,4.7600546
B0019780,138.214,31,2649.5563,19.996,4,18,3,3,1,7.3287,3682.4054,0.9751218196781112,2.3331274905985326,0.30854168844918994,1.0705413,4.9449363
B0019922,80.6569,21,1733.5922,18.0539,2,6,5,3,1,6.1217,2981.9501,0.767664280337979,-0.37875577851945896,-0.31826290638971516,-1.8808762,3.7985935
B0013342,87.7875,25,120.0,2.0332,3,21,16,3,1,6.6846,4320.172,-3.1761727316370862,-0.6151701353483211,0.6650292445503968,-3.140597,8.187622
B0017106,118.4673,32,918.614,2.1147,3,25,12,3,1,6.0907,4377.1376,-2.2124688890733477,0.031155652160311686,0.7371989048982822,-2.6309595,8.411659
B0009789,43.9142,12,1961.7468,12.3894,2,24,6,2,1,4.6911,2462.2212,0.7062063970255905,-1.722332469551023,1.0693448882797287,-3.100184,3.9422371
B0012607,94.118,29,120.0,7.1828,2,16,12,1,1,7.1594,4133.3802,-2.1382008941780204,-0.6180953931136499,-0.3199088027611582,-3.9076443,7.8296623
B0000607,125.6825,6,314.1995,1.6989,4,7,14,3,1,5.8011,5278.2585,-2.9376106525975363,0.4690322596828308,0.2661718524675944,-0.13776517,8.622684
B0016982,152.3569,26,2622.4356,9.2511,5,23,11,5,1,8.193,5030.2495,-1.474723127728191,2.8335997390390255,1.343815706088362,0.15353973,7.613045
B0015815,57.8143,30,1369.2506,2.2117,2,12,9,3,1,6.283,2649.0242,-1.2348524764551239,-1.3338788771238919,-0.20705000983497662,-4.01146,5.8214355
B0006698,112.6125,1,120.0,4.1685,4,16,16,5,1,5.9332,5303.7943,-3.1196334756827193,0.22953171312109424,1.5999563102283862,0.06898361,8.516304
B0006915,124.0119,14,4444.7007,19.5528,4,9,6,2,0,5.445,3481.982,1.7596398890998846,1.6051359623889128,-1.579961046460547,12.03143,4.811317
B0020056,87.9703,32,3440.8961,23.1446,3,6,2,4,0,5.5048,2546.2029,2.401013802978479,0.6151448801517033,-1.9577705324415748,12.999798,4.1955976
B0017363,109.0457,28,348.732,3.3477,4,27,14,1,1,6.364,4594.4613,-2.763466512887873,0.2900951148994923,0.5501246036503006,-2.6318877,8.883416
B0016523,51.3663,11,1117.8302,8.8861,1,9,10,5,1,4.5687,2861.7542,-0.5247782649626287,-2.4002404768082815,0.6751489104809648,-3.1914363,5.295757
B0018896,41.0802,10,1098.0695,10.6772,1,20,8,3,1,5.1275,2518.7439,-0.1206552857576169,-2.366447771468652,1.0682986998281525,-3.684148,5.0462127
B0021208,125.4935,31,4200.5582,19.4169,4,16,4,2,0,4.3873,3116.4129,2.1431838294267913,1.3412148823976977,-1.6450276949744334,12.211135,4.5107117
B0008157,53.143,24,4344.8881,18.6403,2,14,3,1,0,3.6031,1496.7801,2.9752560543340287,-1.271788547824013,-1.8527313856615761,14.337404,3.328415
B0001930,58.0902,28,3068.8902,23.7487,2,9,3,2,0,5.8249,1735.6499,2.3315392328097895,-0.49368140583647585,-2.090267756189711,13.966859,3.7423804
B0013632,73.4629,25,2383.4332,15.3244,1,5,7,3,0,5.0048,2432.2401,0.903660979574362,-1.4085548081565291,-2.0774055982424566,14.913836,4.289036
B0020709,133.5736,27,661.0103,4.2979,3,11,10,3,0,5.6236,4349.5468,-1.8508829813512706,0.34360623140563556,-1.6664892873342425,14.066081,7.6350245
B0005094,35.7089,21,120.0,3.0235,1,23,14,2,1,3.8308,2714.4713,-1.7967171346093902,-3.4476372997727305,0.6414992109328733,-5.212324,5.9473815
B0005918,102.4918,13,1251.5702,11.2312,3,21,8,3,1,6.2651,3922.5422,-0.6948569868151462,0.20995893903354265,1.0971568686921804,-1.3484005,6.1076155
B0021007,87.3729,31,120.0,5.4371,3,19,12,1,1,4.2855,3937.4741,-1.8020328068109377,-1.161640829389913,-0.19898231106127617,-4.7713976,6.527774
B0003722,100.9894,9,1387.6127,4.2156,3,12,9,3,1,6.4927,4133.0196,-1.4071430278888768,0.09453450446424519,0.5431232381525939,-1.2569962,7.3074183
B0005765,133.7412,24,1357.9374,4.6007,5,8,13,2,0,5.5176,4460.3439,-2.121539970164601,1.3204548787896129,-2.0198192639052346,13.518396,7.9794693
B0012326,70.6016,24,2330.5715,18.626,2,10,3,1,1,5.0472,2196.7773,1.6774988224774967,-0.7803749967888769,-0.6152357818617398,-2.7127662,2.5325909
B0002098,151.3084,14,1865.3227,18.1011,4,28,4,1,1,5.0757,4348.9569,0.707177961484115,1.6066603266805257,1.137148476932229,-0.107665196,5.3069024
B0005959,134.0832,16,1861.0105,19.8982,4,16,9,3,1,6.1349,4184.8814,-0.047737808577275574,1.523349381168847,0.6482809044336089,0.9345854,6.291733
B0007366,102.1674,26,1261.5156,9.4882,3,13,7,3,1,6.8804,3801.9478,-0.8000131552223042,0.43020683604487775,0.05150137852587028,-1.5380583,6.2932916
B0018393,151.3319,22,1367.0283,17.9954,5,3,10,3,0,6.2908,4764.3137,-0.8063329764791617,2.350958500687641,-2.0488527532210936,12.561097,6.8654127
B0014253,81.0433,9,2894.865,18.5792,2,1,6,4,0,6.8792,3072.0525,1.026171627035294,0.05153423852304374,-1.5501686713670602,13.680945,4.9426003
B0015656,66.033,10,3788.5683,19.3883,2,16,3,3,1,4.1979,2477.6572,2.571107521156051,-0.9104267846038243,0.7913665442250746,-0.89153016,1.699639
B0003036,85.9038,5,2589.5653,17.1334,1,25,4,5,1,4.1998,3288.7231,1.664198594137421,-1.2990533810481812,2.121943547867175,-1.2848474,2.9296918
B0009706,51.4895,14,1006.9603,22.6211,2,21,5,2,1,6.5365,2375.6003,0.8647358688135252,-0.8439275876835052,0.8163604011057201,-2.3432467,3.6600587
B0011195,64.1725,16,1099.5924,13.4527,1,19,8,3,1,4.5794,2967.7148,0.12550870519279597,-2.0437866282773087,0.7939574389832442,-3.4078038,4.487024
B0003143,133.3177,20,2020.1121,16.1581,4,5,11,2,1,7.2378,4125.6213,-0.7741419430459376,1.7166986998546843,-0.5551962949497945,0.2978897,6.8566327
B0016439,65.8186,16,1621.8823,11.6942,3,12,8,2,1,5.9139,2938.9918,-0.24525292763705836,-0.5154501075246387,0.05251094640127171,-2.2067475,5.5980535
B0010391,59.9848,6,825.0212,10.7717,1,13,11,4,1,6.0387,3199.4202,-0.9602265103067196,-1.853191019360735,0.9341863839635011,-2.8823073,5.7916527
B0005760,51.0022,22,261.6727,14.3377,1,8,11,2,0,4.8205,2533.2207,-0.6193436934917462,-2.3728882573201617,-2.0079523747290184,16.048923,5.842593
B0003932,90.6063,0,1399.4968,15.3807,3,28,7,3,1,7.2161,3871.5967,-0.2756102276551031,0.41677468498616405,2.0879580975105303,0.69579613,6.161863
B0010379,83.2232,0,2250.3651,17.4756,3,26,7,2,1,5.4877,3318.0652,0.6820953062634736,-0.12295846106151807,1.6741508354669101,-0.949122,4.760849
B0007205,99.6791,5,628.7098,11.741,3,10,9,3,1,4.9248,4243.7875,-0.8319444728336092,-0.344421199849001,0.5172080988401104,-1.542635,6.2235956
B0021683,114.1767,27,2717.9853,12.8839,4,12,5,2,1,7.4878,3723.4835,0.20185352118300365,1.696544107892247,-0.270265423129866,0.311761,5.6460147
B0004491,117.5941,12,3076.3926,20.1256,4,24,6,5,1,2.8102,4084.4517,1.6670063064853204,0.4826779064835448,1.8255278185468693,0.6798872,3.3075755
B0010127,35.5048,10,1002.3125,3.2735,1,2,12,1,0,6.5333,2330.859,-1.6030499420976674,-2.329578704011598,-2.2926298833546945,15.66857,6.282712
B0020031,125.0096,7,2107.7917,18.7573,4,5,3,4,0,5.5479,4227.7829,0.9672631985147379,1.5233141255277105,-1.1646578339265992,12.873284,5.158552
B0021380,99.8277,4,2409.9495,23.9974,4,6,2,3,0,7.5827,3403.1999,1.416821598344813,1.8676236269125206,-1.2009116382523015,12.653547,5.244952
B0012017,140.073,7,739.2793,12.0207,4,21,12,4,1,6.2345,5174.2418,-1.7378837114462589,1.2229763873667436,1.5640104220347215,0.27879503,8.30311
B0012796,146.9446,28,120.0,2.4151,5,9,12,1,0,7.7315,5194.8917,-3.2062390481094245,2.0734418121996194,-2.2918624006978887,13.451738,8.100077
B0003470,76.5722,12,120.0,10.2912,2,14,12,3,0,4.1663,3766.7196,-1.2799305528658824,-1.7286658204511838,-0.9684948930947805,15.691221,5.960766
B0019055,38.5682,14,120.0,6.0653,1,8,12,3,1,6.2261,2638.5082,-1.7571038452119174,-2.4306396161106467,0.024422860605160027,-3.4877915,6.076054
B0004673,70.4303,27,2546.7788,16.9597,2,24,0,3,1,6.7196,2698.9544,1.7324157271933427,-0.13618982115382336,0.8463823997235813,-2.1135511,3.3875654
B0000722,59.7312,27,471.8174,9.049,1,1,7,2,0,4.7975,2633.4999,-0.406070627064492,-2.117337627195414,-2.7124480126376977,16.11943,5.7501044
B0008716,80.1212,13,1803.4426,8.8195,2,12,7,4,1,6.0393,3433.8674,-0.263392848312836,-0.6965210183080559,0.6344993249909893,-2.1071982,5.1304317
B0001342,143.9653,21,4442.6743,24.9327,5,14,2,2,1,4.6218,3736.6116,2.7774473503174244,2.483172583829358,0.09139832165759891,1.4585209,3.8120775
B0019123,62.7999,27,1513.1493,5.7094,2,7,15,1,0,8.0671,2582.4574,-2.103489567865993,-0.8332398175143902,-2.453421159974708,15.323168,7.1119237
B0021366,49.6543,15,2004.3087,10.8659,2,25,8,2,1,6.3047,2344.4989,-0.02842690458252235,-1.22662644577657,1.0633894172716267,-3.3073359,4.0573425
B0018895,152.3649,24,1438.2673,10.5902,4,12,9,3,1,6.0155,4749.9398,-1.0709249638418306,1.5774502106136639,0.061734399372195534,-0.25592083,7.559485
B0009696,145.6688,7,3418.005,16.477,5,26,5,3,1,8.1062,4631.0309,0.4439553520767462,3.141132839014155,1.7519873773331405,1.9778154,5.5721684
B0007603,143.0114,14,2139.998,3.8851,4,7,13,3,1,7.8444,4959.0135,-2.2117739166166697,1.754275001014078,0.03486490262536029,0.14468747,7.990179
B0004439,49.5254,27,4503.6691,23.6799,2,11,0,3,0,5.1065,1706.7746,3.6009740894077473,-0.5539548726655612,-1.6727964369237325,13.859495,3.4663599
B0019960,152.682,30,1602.3715,24.4904,5,17,2,3,0,5.206,3718.5471,1.2361185754263047,2.5176853888101234,-1.261371160314321,11.894461,5.04966
B0003839,45.6346,15,2307.7728,21.3938,2,25,2,4,1,6.2368,2253.0113,1.868196488849837,-0.7489258871772776,1.5624377309305437,-1.4126775,3.1267612
B0000122,71.0652,1,1802.2473,16.7108,1,23,7,5,1,4.3307,3235.655,0.8509401338845042,-1.765376351093559,2.0991034494731395,-1.5293251,3.625685
B0004079,80.1448,8,4468.4978,20.9383,2,18,1,2,1,4.4562,2862.9975,3.219727237908328,-0.39103459281337205,0.7849147300821382,-0.4448826,1.815649
B0002618,91.4209,8,2359.7679,21.0391,3,19,4,4,1,4.3407,3452.3163,1.6295887067390404,-0.04264990507954552,1.3465695953460448,-0.16917333,2.7779713
B0007007,99.6258,2,1184.0577,3.8258,3,17,16,3,1,6.3532,4420.7774,-2.5317217102041583,-0.32558051636710916,1.155132824185393,-2.3367488,7.4181976
B0011300,70.4872,24,1632.9629,2.9192,1,20,14,2,1,4.7776,3191.2671,-1.4212004868416812,-2.310693226781145,0.3420061913581939,-4.925591,5.955401
B0010890,64.2953,30,1041.1585,15.4294,3,8,9,3,0,5.4318,2714.349,-0.2691357587126857,-0.6472030601172468,-2.0099837874233653,14.724417,5.7906938
B0000332,59.0674,14,2801.1399,17.9608,2,17,3,4,1,6.1651,2626.0719,1.6212538875242208,-0.5586203403580206,0.9902499830127776,-1.2791506,3.016009
B0012610,119.4937,22,1176.0953,17.8775,4,14,6,4,1,5.8679,3915.9721,0.0016409149480229493,1.1971465965888368,0.5189309805690148,0.5074476,6.0121355
B0004640,111.2395,32,1598.8738,11.6228,3,22,11,2,1,6.1499,3786.6485,-0.919819448204602,0.24389078119129928,0.2836503993269953,-2.527109,7.741305
B0005788,65.9453,5,237.1762,3.0718,2,16,15,3,1,6.6358,3930.2524,-2.6974325067694833,-1.475994403536476,0.9568232181068163,-3.133529,7.0628667
B0012173,71.3367,27,3654.1145,22.5625,3,28,5,4,1,3.7434,2735.1599,2.4404197783245816,-0.4631573079542196,1.3659912342030178,-1.025984,2.749241
B0011078,50.7598,16,1007.4029,9.7186,2,10,10,2,1,5.0491,2511.844,-0.6535831873967982,-1.793663870999042,-0.12895878836163596,-3.8337948,5.444158
B0007713,92.0304,18,2080.126,10.1591,4,22,6,2,1,4.5111,3705.4241,0.19652846867135482,0.13896213251517267,0.7401280849490809,-1.0221187,5.2629585
B0018361,144.7168,28,2040.3552,15.075,5,17,8,2,1,5.4701,4407.3257,-0.21561360036704139,1.9780791969397178,0.06753279497653505,-0.06770958,6.249193
B0000797,59.173,30,3127.3988,17.5772,2,23,6,2,1,5.6162,2075.5862,1.4584008932135526,-0.8770515183929385,0.40678954578968635,-3.2219243,3.2317088
B0002434,53.2183,1,3808.4738,9.9525,2,15,8,3,1,5.361,2786.6726,0.8816471463559716,-1.2064741445580145,1.0167693813405791,-1.8011011,3.4111252
B0016354,146.0629,2,2949.2042,14.9501,5,16,5,4,1,4.8031,4577.1197,0.7112411539793566,2.0680249449864188,1.3583495377879535,1.8737448,5.9800878
B0001911,112.6519,21,120.0,12.767,4,3,7,4,0,7.0008,4343.01,-1.2743725937406074,1.2068252163659225,-1.7967693513952177,13.578076,6.6877337
B0009118,78.9288,6,988.6102,10.0795,2,26,13,3,1,4.7213,3567.9801,-1.1432995114363766,-1.52664316420453,1.6738137638439465,-3.298528,6.6712594
B0005312,102.7941,20,1513.4829,5.0427,4,23,16,3,1,5.95,4486.141,-2.3006386124745686,0.19438936923789607,0.9984661572690522,-2.1930876,8.558151
B0000556,126.8494,13,368.7811,10.2097,4,2,11,3,0,5.7704,4862.0941,-1.7674558381831298,0.8643307597549506,-1.8552832396712629,13.893944,7.035552
B0012036,116.6013,23,3122.9151,19.7894,3,22,3,4,1,5.8979,3467.3777,1.6372756630443892,1.019657891615796,1.0920987553273083,0.20648438,3.7629094
B0013519,133.4418,16,1485.9126,13.4375,4,13,9,1,1,4.218,4280.157,-0.3563334793004824,0.6849915168008691,-0.09788726948281865,-0.49235004,6.0863457
B0017746,111.9157,28,1409.7499,12.9229,4,6,8,2,0,6.1916,3624.9657,-0.600017777195008,1.0145768616990898,-2.2995362373292747,12.741668,6.745915
B0022033,83.3054,8,3209.1065,20.2558,3,11,3,4,1,5.4299,2920.8458,1.929630499384409,0.30325420113696966,0.7523946020049365,-0.014564624,2.7436364
B0006830,61.0968,19,2653.0346,14.7066,1,13,10,3,1,5.1831,2830.5252,0.5642498979879603,-1.7553717218371714,0.2475670829997991,-3.1404467,4.078126
B0016406,138.549,32,120.0,2.346,5,2,13,1,1,7.935,4954.5097,-3.354254370682911,1.918463908002852,-1.4429503601262663,-1.6150314,9.185024
B0004014,54.9067,1,3567.9186,18.2543,2,18,3,3,1,7.0734,2599.0592,1.8537329451223217,-0.278178762368052,1.282912438736309,-0.9960777,2.9044552
